cod_cidade,cidade,uf,loggi,dits_caj,populucao,area,malha_aerea
3554805,Tremembé (SP),SP,0,156.045,45910,192.416,0
5214606,Niquelândia (GO),GO,0,1206.000775,45898,9843.17,0
2929503,São Sebastião do Passé (BA),BA,0,1936777,45816,549.425,0
3545308,Salto de Pirapora (SP),SP,0,126.476,44398,280.312,0
3110004,Caeté (MG),MG,0,638.399,44379,541.094,0
2512507,Queimadas (PB),PB,0,2656.000451,44209,409.196,0
2412203,São José de Mipibu (RN),RN,0,2910.000696,43991,293.877,0
3551504,Serrana (SP),SP,0,313.008,43797,125.744,0
2211100,União (PI),PI,0,2748.000103,43744,1173.447,0
2933208,Vera Cruz (BA),BA,0,1877.000442,43658,252.759,0
3534302,Orlândia (SP),SP,0,368.017,43305,296.431,0
3525102,Jardinópolis (SP),SP,0,334.303,42913,503.355,0
4206504,Guaramirim (SC),SC,0,546.052,42889,268.119,0
4218202,Timbó (SC),SC,0,608.567,42805,127.251,0
4104006,Campina Grande do Sul (PR),PR,0,380.812,42547,539.861,0
4317608,Santo Antônio da Patrulha (RS),RS,0,,42335,1048.904,0
2109601,Rosário (MA),MA,0,2854.000911,42313,685.027,0
4215000,Rio Negrinho (SC),SC,0,527.216,42017,908.391,0
2612604,Santa Maria da Boa Vista (PE),PE,0,2284.000796,41647,3001.168,0
2702900,Girau do Ponciano (AL),AL,0,2305.000517,41287,502.15,0
5208806,Goianira (GO),GO,0,934.173,41188,200.402,0
3130101,Igarapé (MG),MG,0,538.563,41159,109.93,0
3554508,Tietê (SP),SP,0,146.089,41026,392.509,0
2929206,São Francisco do Conde (BA),BA,0,1930.000284,40236,266.631,0
4117503,Paiçandu (PR),PR,0,664.152,40161,170.837,0
2200400,Altos (PI),PI,0,2714749,39850,957.617,0
4204806,Curitibanos (SC),SC,0,731.114,39553,952.283,0
2306256,Itaitinga (CE),CE,0,2903.000003,39321,150.788,0
3518602,Guariba (SP),SP,0,338.866,39216,270.454,0
4305355,Charqueadas (RS),RS,0,1185.000126,38911,216.513,0
3539509,Pitangueiras (SP),SP,0,370.223,38890,429.577,0
3109006,Brumadinho (MG),MG,0,544.897,38882,640.15,0
4306767,Eldorado do Sul (RS),RS,0,1141.000127,38600,509.699,0
2205508,José de Freitas (PI),PI,0,2756.000439,38542,1538.205,0
1300300,Autazes (AM),AM,0,,38460,7599.282,0
2925204,Pojuca (BA),BA,0,1979777,38429,318.205,0
2308005,Massapê (CE),CE,0,3055699,38218,571.531,0
2929305,São Gonçalo dos Campos (BA),BA,0,1875.000013,37695,293.989,0
1301100,Careiro (AM),AM,0,3778.000074,37391,6091.547,0
3141108,Matozinhos (MG),MG,0,630.472,37350,252.908,0
2110203,Santa Rita (MA),MA,0,2827.000655,37117,786.081,0
4218004,Tijucas (SC),SC,0,645.106,36941,276.622,0
3502507,Aparecida (SP),SP,0,179.966,36270,120.939,0
2706901,Pilar (AL),AL,0,2398.000529,35543,248.975,0
2909901,Curaçá (BA),BA,0,,35415,6442.19,0
2308401,Missão Velha (CE),CE,0,2463.000762,35404,651.108,0
4201307,Araquari (SC),SC,0,549.867,35328,401.831,0
4213609,Porto União (SC),SC,0,646.066,35196,851.239,0
4216305,São João Batista (SC),SC,0,670.363,35103,220.726,0
4114807,Marialva (PR),PR,0,632.429,34957,475.467,0
3521002,Iperó (SP),SP,0,128.478,34940,170.94,0
4310108,Igrejinha (RS),RS,0,1117.000591,34914,136.816,0
3550407,São Pedro (SP),SP,0,195.118,34900,618.204,0
4314803,Portão (RS),RS,0,1162.000053,34708,159.942,0
3513108,Cravinhos (SP),SP,0,293.702,34651,311.341,0
1303536,Presidente Figueiredo (AM),AM,0,4027.000306,34596,25422.235,0
4114203,Mandaguari (PR),PR,0,627.399,34554,335.816,0
2708808,São Sebastião (AL),AL,0,2302.000836,34546,305.746,0
4102000,Assis Chateaubriand (PR),PR,0,880.203,34057,969.588,0
2926301,Riachão do Jacuípe (BA),BA,0,1904.000336,34023,1199.201,0
3544004,Rio das Pedras (SP),SP,0,169.375,33944,226.939,0
2310209,Paracuru (CE),CE,0,3187.000258,33898,303.253,0
2908507,Conceição do Jacuípe (BA),BA,0,1884.000963,33879,115.68,0
4122305,Rio Negro (PR),PR,0,518.808,33855,603.246,0
4308607,Garibaldi (RS),RS,0,1026.000913,33632,167.697,0
3520400,Ilhabela (SP),SP,0,203.004,33369,348.3,0
3305752,Tanguá (RJ),RJ,0,499.364,32974,146.623,0
4108809,Guaíra (PR),PR,0,922.014,32971,560.508,0
3550209,São Miguel Arcanjo (SP),SP,0,184.761,32903,930.012,0
3158953,Santana do Paraíso (MG),MG,0,855.837,32860,275.529,0
3508603,Cachoeira Paulista (SP),SP,0,212.928,32771,287.837,0
4111506,Ivaiporã (PR),PR,0,728.202,32713,432.47,0
2310258,Paraipaba (CE),CE,0,3191.000641,32520,301.123,0
3502903,Araçoiaba da Serra (SP),SP,0,124.252,32512,255.55,0
4122206,Rio Branco do Sul (PR),PR,0,431.864,32499,814.361,0
4213203,Pomerode (SC),SC,0,588.016,32338,215.904,0
5106505,Poconé (MT),MT,0,1631.000369,32258,17260.861,0
3531902,Morro Agudo (SP),SP,0,382.156,32221,1386.176,0
5215603,Padre Bernardo (GO),GO,0,1145.00097,32154,3137.903,0
2312007,Santana do Acaraú (CE),CE,0,3074.00014,32026,969.323,0
1303569,Rio Preto da Eva (AM),AM,0,3978.000975,32015,5813.197,0
3105400,Barão de Cocais (MG),MG,0,673.107,31978,340.675,0
3505609,Barrinha (SP),SP,0,342.114,31924,146.567,0
3506607,Biritiba Mirim (SP),SP,0,81.057,31795,316.717,0
4117909,Palotina (PR),PR,0,903.364,31366,651.228,0
3165537,Sarzedo (MG),MG,0,563.978,31067,61.892,0
4212502,Penha (SC),SC,0,590.451,31040,58.783,0
3526209,Juquitiba (SP),SP,0,77.473,31025,521.598,0
2109452,Raposa (MA),MA,0,2924.000889,30843,64.182,0
4306403,Dois Irmãos (RS),RS,0,1143.000881,30765,65.156,0
3157203,Santa Bárbara (MG),MG,0,683.829,30694,684.21,0
3140704,Mateus Leme (MG),MG,0,566.879,30682,302.589,0
1302553,Manaquiri (AM),AM,0,3830.000599,30251,3975.759,0
3162922,São Joaquim de Bicas (MG),MG,0,548.931,30184,72.455,0
2800605,Barra dos Coqueiros (SE),SE,0,2173.000629,29820,91.101,0
4217709,Sombrio (SC),SC,0,916.272,29708,142.745,0
4308201,Flores da Cunha (RS),RS,0,962.506,29609,272.662,0
2914505,Irará (BA),BA,0,1906.000656,29483,239.659,0
1301159,Careiro da Várzea (AM),AM,0,,29197,2631.128,0
3518305,Guararema (SP),SP,0,80.082,28980,270.496,0
2704203,Limoeiro de Anadia (AL),AL,0,2367.000953,28951,315.668,0
3537909,Pilar do Sul (SP),SP,0,152.839,28717,682.395,0
3525201,Jarinu (SP),SP,0,75.498,28554,207.671,0
5203302,Bela Vista de Goiás (GO),GO,0,912.061,28517,1276.617,0
2511202,Pedras de Fogo (PB),PB,0,2728.000248,28494,401.12,0
2403608,Extremoz (RN),RN,0,2971.000502,28335,125.665,0
4322004,Triunfo (RS),RS,0,1197.000954,28297,823.416,0
5214507,Nerópolis (GO),GO,0,935.596,28275,204.216,0
4104253,Campo Magro (PR),PR,0,431.476,28250,275.466,0
4219705,Xaxim (SC),SC,0,858.647,28205,294.715,0
4304804,Carlos Barbosa (RS),RS,0,1022.000043,28102,229.906,0
4116901,Nova Esperança (PR),PR,0,689.015,28080,401.587,0
2709202,Traipu (AL),AL,0,2312,28064,697.843,0
3526407,Laranjal Paulista (SP),SP,0,161.159,27891,386.763,0
4202107,Barra Velha (SC),SC,0,567.766,27795,140.16,0
3547502,Santa Rita do Passa Quatro (SP),SP,0,257.208,27583,752.993,0
3512209,Conchal (SP),SP,0,178.311,27553,183.826,0
2508307,Lagoa Seca (PB),PB,0,2681.000654,27540,109.342,0
4111258,Itaperuçu (PR),PR,0,433.951,27506,312.382,0
2408201,Nísia Floresta (RN),RN,0,2913185,27376,306.051,0
4318507,São José do Norte (RS),RS,0,1351.00059,27208,1117.873,0
2307106,Jardim (CE),CE,0,2421.000365,27069,457.034,0
2303204,Caririaçu (CE),CE,0,2497.000717,26888,623.823,0
2105104,Icatu (MA),MA,0,2895.000574,26834,1448.796,0
5200308,Alexânia (GO),GO,0,1014.000607,26768,847.891,0
4216503,São Joaquim (SC),SC,0,848.997,26639,1885.608,0
4313375,Nova Santa Rita (RS),RS,0,1145.00095,26472,217.868,0
2901106,Amélia Rodrigues (BA),BA,0,1892.000121,26394,124.075,0
2607752,Itapissuma (PE),PE,0,2694.000366,26344,74.249,0
2304954,Guaiúba (CE),CE,0,2913.000094,26337,267.203,0
4102109,Astorga (PR),PR,0,616.504,26193,434.791,0
3106309,Belo Oriente (MG),MG,0,875.418,26164,336.012,0
2404200,Goianinha (RN),RN,0,2890.000266,26073,192.277,0
3547601,Santa Rosa de Viterbo (SP),SP,0,293.751,26067,289.669,0
4205456,Forquilhinha (SC),SC,0,890.312,25989,181.915,0
4123501,Santa Helena (PR),PR,0,1034.000809,25912,758.229,0
3136652,Juatuba (MG),MG,0,571.974,25890,96.789,0
2607604,Ilha de Itamaracá (PE),PE,0,2700.000969,25806,65.411,0
4114302,Mandirituba (PR),PR,0,451.983,25669,379.179,0
3509403,Cajuru (SP),SP,0,303.399,25655,660.687,0
3546702,Santa Gertrudes (SP),SP,0,170.213,25649,97.694,0
4304663,Capão do Leão (RS),RS,0,1384.000891,25495,785.374,0
2608750,Lagoa Grande (PE),PE,0,,25299,1852.186,0
2704005,Junqueiro (AL),AL,0,2310.000327,25079,254.067,0
4319505,São Sebastião do Caí (RS),RS,0,1050.000446,24970,111.452,0
2908903,Coração de Maria (BA),BA,0,1897.000093,24792,372.315,0
2504603,Conde (PB),PB,0,2755.000476,24783,172.949,0
5217302,Pirenópolis (GO),GO,0,1023.000215,24751,2227.793,0
3109303,Buritis (MG),MG,0,1113.000654,24689,5219.469,0
2702355,Craíbas (AL),AL,0,2351.000364,24506,275.325,0
2512903,Rio Tinto (PB),PB,0,2822.000489,24149,466.397,0
3507803,Brodowski (SP),SP,0,348.185,24098,279.804,0
2304350,Forquilha (CE),CE,0,3052.000024,24055,516.988,0
3512407,Cordeirópolis (SP),SP,0,161.911,23797,137.337,0
4318408,São Jerônimo (RS),RS,0,1195.0007,23767,937.049,0
2930774,Sobradinho (BA),BA,0,2219.000819,23705,1322.661,0
3521408,Iracemápolis (SP),SP,0,162.097,23271,115.947,0
3553302,Tambaú (SP),SP,0,263.082,23262,561.566,0
2304004,Coreaú (CE),CE,0,3000.000392,23106,775.746,0
2105500,João Lisboa (MA),MA,0,2351.000503,23020,1126.517,0
2908200,Conceição da Feira (BA),BA,0,1871.000499,23014,159.776,0
2916104,Itaparica (BA),BA,0,1893.000074,22862,115.922,0
3548005,Santo Antônio de Posse (SP),SP,0,143.963,22801,154.113,0
2702603,Feira Grande (AL),AL,0,2308207,22472,155.974,0
2407807,Monte Alegre (RN),RN,0,2922.000865,22459,199.519,0
4100509,Altônia (PR),PR,0,892.306,21986,661.558,0
3513603,Cunha (SP),SP,0,233.031,21923,1407.172,0
2503001,Caaporã (PB),PB,0,2731.000539,21873,150.168,0
2100204,Alcântara (MA),MA,0,2959.000215,21661,1483.232,0
4208104,Itaiópolis (SC),SC,0,553.352,21500,1295.319,0
4319000,São Marcos (RS),RS,0,947.131,21364,256.254,0
4112108,Jandaia do Sul (PR),PR,0,627.985,21338,187.6,0
4106605,Cruzeiro do Oeste (PR),PR,0,785.964,21199,779.222,0
4219002,Urussanga (SC),SC,0,867.998,21169,240.476,0
1713205,Miracema do Tocantins (TO),TO,0,1790.000625,19040,2656.078,0
