cod_cidade,cidade,uf,loggi,dits_caj,populucao,area,malha_aerea
3552809,Taboão da Serra (SP),SP,0,22.897,279699,20.478,0
4316907,Santa Maria (RS),RS,0,1266.000269,278455,1779.556,0
4309209,Gravataí (RS),RS,0,1123.000108,275176,463.758,0
5108402,Várzea Grande (MT),MT,0,1531.000945,273934,938.057,0
3552403,Sumaré (SP),SP,0,119.796,273066,153.033,0
1504208,Marabá (PA),PA,0,2463.000159,271660,15092.268,0
2307304,Juazeiro do Norte (CE),CE,0,2470.000242,270428,248.558,1
3505708,Barueri (SP),SP,0,33.946,267553,64.167,0
3515004,Embu das Artes (SP),SP,0,33.433,267073,70.079,0
3306305,Volta Redonda (RJ),RJ,0,340.873,264280,182.317,0
4108304,Foz do Iguaçu (PR),PR,0,1060.0007,263989,617.701,1
3131307,Ipatinga (MG),MG,0,842.153,261223,165.509,0
2403251,Parnamirim (RN),RN,0,2929.000731,254919,120.202,0
2105302,Imperatriz (MA),MA,0,2287.000837,254461,1367.901,1
4323002,Viamão (RS),RS,0,1133.000322,253715,1494.263,0
4313409,Novo Hamburgo (RS),RS,0,1136.000533,249479,223.606,0
3548906,São Carlos (SP),SP,0,240.029,246101,1140.92,0
3302403,Macaé (RJ),RJ,0,610.958,244350,1215.904,0
3520509,Indaiatuba (SP),SP,0,105.348,239720,310.564,0
4216602,São José (SC),SC,0,692.051,239719,113.171,0
3513009,Cotia (SP),SP,0,36.225,237857,323.891,0
3302502,Magé (RJ),RJ,0,454.301,237776,385.696,0
4105805,Colombo (PR),PR,0,408.413,237424,198.007,0
3167202,Sete Lagoas (MG),MG,0,636.013,236268,537.476,0
3529005,Marília (SP),SP,0,437.092,235223,1170.054,1
3122306,Divinópolis (MG),MG,0,519.154,234975,708.909,0
2700300,Arapiraca (AL),AL,0,2328.000037,234177,351.475,0
3501608,Americana (SP),SP,0,125.997,233882,133.63,0
3301900,Itaboraí (RJ),RJ,0,483.032,232518,424.219,0
4318705,São Leopoldo (RS),RS,0,1150.000714,230944,102.313,0
3503208,Araraquara (SP),SP,0,278.254,230781,1005.968,0
3524402,Jacareí (SP),SP,0,82.065,229842,460.073,0
3522505,Itapevi (SP),SP,0,42.627,229555,91.353,0
3541406,Presidente Prudente (SP),SP,0,557.451,225259,562.107,1
2307650,Maracanaú (CE),CE,0,2930.000679,224831,105.696,0
5107602,Rondonópolis (MT),MT,0,1315.000267,222393,4165.232,0
3519071,Hortolândia (SP),SP,0,112.799,222249,62.224,0
2918407,Juazeiro (BA),BA,0,2173.000236,222088,6389.623,0
2914802,Itabuna (BA),BA,0,1660.000196,220984,443.198,0
3157807,Santa Luzia (MG),MG,0,600.486,218894,233.759,0
5003702,Dourados (MS),MS,0,1007.000715,218063,4086.387,1
5218805,Rio Verde (GO),GO,0,899.445,217175,8388.295,1
3300704,Cabo Frio (RJ),RJ,0,593.462,216141,400.693,1
4204202,Chapecó (SC),SC,0,884.271,213300,624.308,1
4208203,Itajaí (SC),SC,0,605.809,212632,289.255,0
3201209,Cachoeiro de Itapemirim (ES),ES,0,832.152,211869,876.792,0
4204608,Criciúma (SC),SC,0,879.472,211334,235.628,0
4315602,Rio Grande (RS),RS,0,1358.000814,209380,2813.907,0
4300604,Alvorada (RS),RS,0,1126.000649,208181,70.811,0
2312908,Sobral (CE),CE,0,3037.000157,205577,2122.989,0
2602902,Cabo de Santo Agostinho (PE),PE,0,2614.00017,204693,447.875,0
3543907,Rio Claro (SP),SP,0,177.755,202944,498.008,0
1505536,Parauapebas (PA),PA,0,2396.000008,202653,7007.737,0
5212501,Luziânia (GO),GO,0,991.497,199619,3961.536,0
4314100,Passo Fundo (RS),RS,0,992.264,198820,780.355,1
2919207,Lauro de Freitas (BA),BA,0,1973.000963,197801,59.905,0
5200258,Águas Lindas de Goiás (GO),GO,0,1071.000807,195922,191.198,0
1502400,Castanhal (PA),PA,0,2808.000689,195249,1029.191,0
3502804,Araçatuba (SP),SP,0,524.258,194854,1167.311,1
3300100,Angra dos Reis (RJ),RJ,0,405.803,194736,800.43,0
3545803,'Santa Bárbara d''Oeste (SP)',SP,0,,191863,271.492,0
3515707,Ferraz de Vasconcelos (SP),SP,0,51.027,188891,30.071,0
3303401,Nova Friburgo (RJ),RJ,0,547.151,185370,932.635,0
2804805,Nossa Senhora do Socorro (SE),SE,0,2166.000364,181946,157.515,0
4109401,Guarapuava (PR),PR,0,673.025,180353,3115.329,0
3300407,Barra Mansa (RJ),RJ,0,312.291,180290,547.441,0
2111201,São José de Ribamar (MA),MA,0,2914.000343,177651,386.282,0
3129806,Ibirité (MG),MG,0,571.931,177524,73.027,0
2913606,Ilhéus (BA),BA,0,1691.000635,176141,1840.991,1
3305802,Teresópolis (RJ),RJ,0,488.366,176081,770.507,0
1702109,Araguaína (TO),TO,0,2042.00055,175996,4000.395,0
3516309,Francisco Morato (SP),SP,0,49.808,171614,49.164,0
3302858,Mesquita (RJ),RJ,0,411.197,171244,34.767,0
3522208,Itapecerica da Serra (SP),SP,0,42.392,170947,151.458,0
4208906,Jaraguá do Sul (SC),SC,0,554.523,170879,532.59,0
3523909,Itu (SP),SP,0,101.241,170161,639.981,0
3203205,Linhares (ES),ES,0,1089.000047,169296,3501.604,0
2112209,Timon (MA),MA,0,2689.000172,167625,1740.559,0
3151800,Poços de Caldas (MG),MG,0,273.564,166096,544.42,0
4211900,Palhoça (SC),SC,0,697.93,164976,394.662,0
3507605,Bragança Paulista (SP),SP,0,87.409,164182,513.589,0
3538006,Pindamonhangaba (SP),SP,0,157.619,164016,730.172,0
2103000,Caxias (MA),MA,0,2708.000853,162614,5223.981,0
2918001,Jequié (BA),BA,0,1610.000549,162152,3035.423,0
2931350,Teixeira de Freitas (BA),BA,0,1324.000182,161767,1153.791,0
3522307,Itapetininga (SP),SP,0,173.054,160080,1792.079,0
3548807,São Caetano do Sul (SP),SP,0,13.453,159589,15.36,0
5221858,Valparaíso de Goiás (GO),GO,0,1005.000935,159559,60.111,0
4209300,Lages (SC),SC,0,770.054,158449,2644.313,1
3303203,Nilópolis (RJ),RJ,0,414.009,158287,19.157,0
2903201,Barreiras (BA),BA,0,1616.000506,157058,7895.241,0
2603454,Camaragibe (PE),PE,0,2659.000625,156369,55.083,0
2900702,Alagoinhas (BA),BA,0,1936.000886,156156,733.969,0
1500107,Abaetetuba (PA),PA,0,2759.000523,153334,1610.743,0
3302700,Maricá (RJ),RJ,0,490.746,153238,362.477,0
4118204,Paranaguá (PR),PR,0,474.834,152973,826.652,0
3148004,Patos de Minas (MG),MG,0,725.294,150903,3189.006,0
2207702,Parnaíba (PI),PI,0,3011.00088,150504,435.564,1
3516408,Franco da Rocha (SP),SP,0,44.031,149531,133.931,0
2925303,Porto Seguro (BA),BA,0,1585.000322,149410,2408.594,1
3530706,Mogi Guaçu (SP),SP,0,197.508,149390,813.138,0
3152501,Pouso Alegre (MG),MG,0,202.689,147190,543.883,0
3525300,Jaú (SP),SP,0,303.042,146352,688.337,0
3304144,Queimados (RJ),RJ,0,398.085,145385,76.921,0
3507506,Botucatu (SP),SP,0,238.606,142561,1482.874,0
3168606,Teófilo Otoni (MG),MG,0,1061.000897,141908,3242.818,0
3304524,Rio das Ostras (RJ),RJ,0,603.048,141403,230.621,0
3504107,Atibaia (SP),SP,0,66.309,139686,478.101,0
4320008,Sapucaia do Sul (RS),RS,0,1129.000294,139481,58.644,0
2606002,Garanhuns (PE),PE,0,2432.000008,138639,472.462,0
2616407,Vitória de Santo Antão (PE),PE,0,2616.000763,137576,371.796,0
4101804,Araucária (PR),PR,0,437.422,137490,469.166,0
2513703,Santa Rita (PB),PB,0,2788.000371,136849,726.565,0
3105608,Barbacena (MG),MG,0,527.643,136690,788.001,0
2930709,1ões Filho (BA),BA,0,1946.00087,136094,192.163,0
3156700,Sabará (MG),MG,0,599.812,135965,303.564,0
5107909,Sinop (MT),MT,0,2003.000711,135934,3194.339,0
4127700,Toledo (PR),PR,0,926.019,135564,1197.016,0
4202008,Balneário Camboriú (SC),SC,0,616.167,135348,46.489,0
3170701,Varginha (MG),MG,0,317.493,134374,395.647,0
1502103,Cametá (PA),PA,0,2778.000279,134080,3081.36,0
4101408,Apucarana (PR),PR,0,606.008,132693,558.388,0
1100122,Ji-Paraná (RO),RO,0,2638.000594,132642,6896.782,0
