,cod_cidade,cidade,uf,loggi,dist_caj,populcao,area,malha_aerea,importancia,dens_pop,f
0,3545803,Santa Bárbara d'Oeste (SP),SP,0,,191863,271.492,0,0,706.698539920145,0.03533492699600725
1,1600600,Santana (AP),AP,0,,115438,1577.517,0,0,73.17702439973705,0.0036588512199868524
2,2910057,Dias d'Ávila (BA),BA,0,,80727,207.50400000000002,0,0,389.03828359935227,0.019451914179967614
3,4317608,Santo Antônio da Patrulha (RS),RS,0,,42335,1048.904,0,0,40.361176999992374,0.0020180588499996185
4,1300300,Autazes (AM),AM,0,,38460,7599.281999999999,0,0,5.061004447525438,0.0002530502223762719
5,2909901,Curaçá (BA),BA,0,,35415,6442.19,0,0,5.497354160619293,0.0002748677080309646
6,1301159,Careiro da Várzea (AM),AM,0,,29197,2631.1279999999997,0,0,11.096761541057678,0.0005548380770528839
7,2608750,Lagoa Grande (PE),PE,0,,25299,1852.1860000000001,0,0,13.658995370875278,0.0006829497685437639
8,1302504,Manacapuru (AM),AM,0,4000.59,96436,7329.234,0,0,13.157718801173491,0.0006578859400586745
9,2313500,Trairi (CE),CE,0,3192.4790000000003,55212,924.555,0,0,59.71737754919935,0.0029858688774599676
10,2308005,Massapê (CE),CE,0,3055.699,38218,571.531,0,0,66.8695136396801,0.0033434756819840047
11,2407104,Macaíba (RN),RN,0,2943.509,80386,512.487,0,0,156.8547104609483,0.007842735523047414
12,2408201,Nísia Floresta (RN),RN,0,2913.185,27376,306.051,0,0,89.44914409689889,0.004472457204844945
13,2200400,Altos (PI),PI,0,2714.7490000000003,39850,957.617,0,0,41.6137140422528,0.0020806857021126402
14,2702603,Feira Grande (AL),AL,0,2308.2070000000003,22472,155.974,0,0,144.07529460038214,0.0072037647300191065
15,2925204,Pojuca (BA),BA,0,1979.777,38429,318.205,0,0,120.76805832717902,0.006038402916358951
16,2929503,São Sebastião do Passé (BA),BA,0,1936.777,45816,549.425,0,0,83.38899758838787,0.004169449879419394
17,1400100,Boa Vista (RR),RR,0,4650.000299,332025,5687.064,0,1,58.382497541789576,0.10291912487708949
18,1301902,Itacoatiara (AM),AM,0,4179.0,99838,8891.993,0,0,11.227854093002547,0.0005613927046501274
19,1303536,Presidente Figueiredo (AM),AM,0,4027.0003060000004,34596,25422.235,0,0,1.3608559593599854,6.804279796799926e-05
20,1303569,Rio Preto da Eva (AM),AM,0,3978.000975,32015,5813.196999999999,0,0,5.5072965874027675,0.0002753648293701384
21,1301852,Iranduba (AM),AM,0,3940.000546,47402,2215.033,0,0,21.400132639107408,0.0010700066319553705
22,1302603,Manaus (AM),AM,1,3900.0007149999997,2130330,11401.058,1,1,186.85371129591655,0.20934268556479585
23,1302553,Manaquiri (AM),AM,0,3830.0005990000004,30251,3975.759,0,0,7.60886160353281,0.0003804430801766405
24,1301100,Careiro (AM),AM,0,3778.000074,37391,6091.547,0,0,6.138178035891376,0.0003069089017945688
25,1303403,Parintins (AM),AM,0,3556.0,113794,5952.3330000000005,0,2,19.11754601095066,0.20095587730054754
26,1200401,Rio Branco (AC),AC,0,3526.0,383452,9222.577,0,1,41.57753304743349,0.10207887665237168
27,1600303,Macapá (AP),AP,0,3402.0,474699,6407.1230000000005,0,1,74.08925971922187,0.1037044629859611
28,1506807,Santarém (PA),PA,0,3377.000337,296159,17876.647,0,1,16.566809200852934,0.10082834046004266
29,2310258,Paraipaba (CE),CE,0,3191.000641,32520,301.123,0,0,107.99573596171665,0.005399786798085832
30,2310209,Paracuru (CE),CE,0,3187.000258,33898,303.253,0,0,111.78125195793612,0.005589062597896806
31,2312403,São Gonçalo do Amarante (CE),CE,0,3153.000012,48279,834.3939999999999,0,0,57.86115432277798,0.0028930577161388987
32,2306405,Itapipoca (CE),CE,0,3133.0009609999997,127501,1614.682,0,0,78.96353585411865,0.0039481767927059324
33,2303709,Caucaia (CE),CE,0,3116.000403,362360,1227.895,0,0,295.10666628661244,0.014755333314330621
34,2312007,Santana do Acaraú (CE),CE,0,3074.0001399999996,32026,969.323,0,0,33.03955441065568,0.001651977720532784
35,2304350,Forquilha (CE),CE,0,3052.000024,24055,516.988,0,0,46.529126401386485,0.002326456320069324
36,2312908,Sobral (CE),CE,0,3037.000157,205577,2122.989,0,0,96.83375655738207,0.004841687827869104
37,1100205,Porto Velho (RO),RO,0,3013.000203,519563,34082.366,1,2,15.244334856330102,0.40076221674281653
38,2207702,Parnaíba (PI),PI,0,3011.00088,150504,435.564,1,0,345.5381987492079,0.017276909937460394
39,2304004,Coreaú (CE),CE,0,3000.0003920000004,23106,775.7460000000001,0,0,29.785522580844756,0.0014892761290422377
40,2402600,Ceará-Mirim (RN),RN,0,2972.000503,73835,739.686,0,0,99.81938281919625,0.004990969140959813
41,2403608,Extremoz (RN),RN,0,2971.000502,28335,125.665,0,0,225.4804440377193,0.011274022201885966
42,2100204,Alcântara (MA),MA,0,2959.000215,21661,1483.2320000000002,0,0,14.603919009298611,0.0007301959504649306
43,2412005,São Gonçalo do Amarante (RN),RN,0,2954.000492,101169,251.308,0,0,402.5697550416223,0.020128487752081113
44,2408102,Natal (RN),RN,0,2947.0009,885077,170.298,1,3,5197.224864649027,0.8598612432324513
45,2307650,Maracanaú (CE),CE,0,2930.0006789999998,224831,105.696,0,0,2127.147668785952,0.10635738343929761
46,2307700,Maranguape (CE),CE,0,2930.000601,126534,590.8240000000001,0,0,214.16530134185473,0.010708265067092736
47,2403251,Parnamirim (RN),RN,0,2929.000731,254919,120.20200000000001,0,0,2120.755062311775,0.10603775311558875
48,2304400,Fortaleza (CE),CE,1,2928.000994,2627745,313.14,1,1,8391.598007281089,0.6195799003640545
49,2109452,Raposa (MA),MA,0,2924.000889,30843,64.182,0,0,480.5552958773488,0.02402776479386744
50,2407807,Monte Alegre (RN),RN,0,2922.000865,22459,199.519,0,0,112.56572055794184,0.005628286027897092
51,2309706,Pacatuba (CE),CE,0,2920.00068,82875,132.42700000000002,0,0,625.8164875742862,0.031290824378714305
52,2304285,Eusébio (CE),CE,0,2918.000684,52698,76.583,0,0,688.1161615502135,0.034405808077510674
